column_order	column_name	type	required	enum	coordinate_convention	missing_value	description
1	schema_version	string	true			.	Schema version.
2	run_id	string	true			.	Run identifier.
3	sample_id	string	true			.	Sample identifier.
4	molecule_cluster_id	string	true			.	Unique cluster identifier.
5	locus_id	string	false			.	Locus being clustered.
6	target_region_id	string	true			.	Target region.
7	representative_evidence_id	string	true			.	Representative evidence.
8	representative_read_id	string	true			.	Representative read.
9	cluster_size_reads	integer	true			.	Read count in cluster.
10	independent_molecule_weight	float	true			.	Default 1.0 per cluster.
11	cluster_method	string	true			.	Clustering method/version.
12	start_tolerance_bp	integer	false			.	Alignment-start tolerance.
13	end_tolerance_bp	integer	false			.	Alignment-end tolerance.
14	splice_chain_hash	string	false			.	Hash of splice chain.
15	flank_hash	string	false			.	Hash of flank sequence.
16	sequence_similarity_min	float	false			.	Minimum within-cluster similarity.
17	duplicate_likelihood	enum	true	duplicate_likelihood		.	Duplicate likelihood.
18	cluster_confidence	enum	true	cluster_confidence		.	Cluster confidence.
19	notes	string	false			.	Notes.
