column_order	column_name	type	required	enum	coordinate_convention	missing_value	description
1	schema_version	string	true			.	Schema version.
2	run_id	string	true			.	Run identifier.
3	sample_id	string	true			.	Sample identifier.
4	locus_id	string	true			.	TRExplorer locus.
5	target_region_id	string	true			.	Primary analysis region.
6	gene_name	string	false			.	GENCODE/curated gene.
7	primary_region	string	false			.	CDS/UTR/exon/intron/etc.
8	priority_tier	string	true			.	T0/T1/T2/T3.
9	disease_locus	boolean	true			.	Forced disease locus.
10	rna_evidence_status	enum	true	rna_evidence_status		.	RNA evidence state; never call no coverage negative.
11	evaluability_status	enum	true	evaluability_status		.	Whether the locus is evaluable.
12	total_candidate_reads	integer	true			.	Candidate read count.
13	assigned_unique_reads	integer	true			.	Uniquely assigned reads.
14	assigned_ambiguous_reads	integer	true			.	Ambiguous reads.
15	span_reads	integer	true			.	SPAN reads.
16	left_censored_reads	integer	true			.	Left-anchored/right-censored reads.
17	right_censored_reads	integer	true			.	Right-anchored/left-censored reads.
18	repeat_only_unanchored_reads	integer	true			.	Unanchored repeat-only reads.
19	molecule_clusters	integer	true			.	Number of molecule clusters.
20	independent_molecule_count_estimate	float	true			.	Weighted independent-molecule estimate.
21	max_repeat_bp	float	false			.	Maximum exact repeat estimate.
22	max_repeat_units	float	false			.	Maximum exact repeat units.
23	max_repeat_lower_bound_bp	float	false			.	Maximum censored lower bound.
24	median_repeat_bp_span	float	false			.	Median among SPAN calls.
25	p95_repeat_bp_span	float	false			.	95th percentile among SPAN calls.
26	max_repeat_purity	float	false			.	Maximum purity.
27	min_mapq_support	integer	false			.	Minimum MAPQ among supporting reads.
28	best_confidence_label	enum	true	confidence_label		.	Best evidence confidence.
29	expansion_signal_status	enum	true	expansion_signal_status		.	Candidate status; absence is not a DNA-negative call.
30	expansion_signal_reason	string	false			.	Rule/reason.
31	manual_review_required	boolean	true			.	Manual review flag.
32	qc_flags	string_list	false			.	Semicolon-separated flags.
33	notes	string	false			.	Notes.
