enum_name	allowed_value	meaning
alignment_class	primary	
alignment_class	secondary	
alignment_class	supplementary	
alignment_class	unmapped	
assignment_status	assigned_ambiguous	
assignment_status	assigned_unique	
assignment_status	conflicting_segments	
assignment_status	near_target_only	
assignment_status	unassigned	
boundary_status	CENSORED_BY_GEOMETRY	
boundary_status	CONTEXT_EDGE	
boundary_status	LOW_CONFIDENCE	
boundary_status	SEQUENCE_BOUNDED	
call_status	FAIL	
call_status	LOW_CONFIDENCE	
call_status	NOT_EVALUATED	
call_status	PASS	
caller_call_status	LOW_CONFIDENCE	
caller_call_status	PASS	
caller_evidence_geometry	BOTH_CENSORED	
caller_evidence_geometry	LEFT_CENSORED	
caller_evidence_geometry	RIGHT_CENSORED	
caller_evidence_geometry	SPAN	
caller_evidence_geometry	UNKNOWN	
caller_integration_status	CALLED	
caller_integration_status	CALLER_ERROR	
caller_integration_status	NOT_ATTEMPTED_NO_PROJECTED_TARGET	
caller_integration_status	NOT_ATTEMPTED_NO_WINDOW_SEQUENCE	
caller_integration_status	NOT_ATTEMPTED_UNSUPPORTED_STRATEGY	
caller_materialization_status	CALLED_NOT_RETAINED	
caller_materialization_status	COMPETING_OVERLAPPING_ATTEMPT	
caller_materialization_status	NOT_CALLED	
caller_materialization_status	RETAINED_ADDITIONAL_EVENT	
caller_materialization_status	RETAINED_PRIMARY_EVENT	
caller_sizing_status	CONTEXT_LIMITED_LOWER_BOUND	
caller_sizing_status	EXACT_SPAN	
caller_sizing_status	LOWER_BOUND_BOTH_CENSORED	
caller_sizing_status	LOWER_BOUND_LEFT_CENSORED	
caller_sizing_status	LOWER_BOUND_RIGHT_CENSORED	
caller_sizing_status	LOWER_BOUND_UNKNOWN_GEOMETRY	
caller_sizing_status	LOW_CONFIDENCE	
censor_handling_method	CENSOR_AWARE_INTERVAL_LIKELIHOOD	
censor_handling_method	EXACT_ONLY	
censor_handling_method	NOT_APPLICABLE	
cluster_analysis_status	INSUFFICIENT_DATA	
cluster_analysis_status	MULTIMODAL	
cluster_analysis_status	NOT_RUN	
cluster_analysis_status	REVIEW	
cluster_analysis_status	UNIMODAL	
cluster_confidence	HIGH	
cluster_confidence	LOW	
cluster_confidence	MEDIUM	
cluster_confidence	UNRESOLVED	
cluster_membership_status	CENSORED_AMBIGUOUS	
cluster_membership_status	CENSORED_COMPATIBLE	
cluster_membership_status	EXCLUDED_CONTEXT_LIMITED	
cluster_membership_status	FIT_EXACT	
cluster_membership_status	UNASSIGNED	
compound_status	COMPOUND	
compound_status	INTERRUPTED_SINGLE_MOTIF	
compound_status	SINGLE_MOTIF	
confidence_label	HIGH	
confidence_label	LOW	
confidence_label	MEDIUM	
confidence_label	UNRESOLVED	
discordance_origin_confidence	HIGH	
discordance_origin_confidence	LOW	
discordance_origin_confidence	MEDIUM	
discordance_origin_confidence	NOT_ASSESSED	
discordance_origin_status	LIKELY_BIOLOGICAL	
discordance_origin_status	LIKELY_TECHNICAL	
discordance_origin_status	MIXED_OR_AMBIGUOUS	
discordance_origin_status	NOT_ASSESSED	
discordance_origin_status	UNRESOLVED	
duplicate_likelihood	high	
duplicate_likelihood	low	
duplicate_likelihood	medium	
duplicate_likelihood	unknown	
evaluability_status	EVALUABLE	
evaluability_status	NOT_EVALUABLE	
evaluability_status	NOT_EVALUATED	
evaluability_status	PARTIALLY_EVALUABLE	
evidence_class	AMBIGUOUS_LOCUS	
evidence_class	BOTH_SIDES_CENSORED	
evidence_class	FLANKS_WITHOUT_REPEAT	
evidence_class	LEFT_ANCHORED_CENSORED_RIGHT	Genomic-left flank anchored; repeat extends to read end without genomic-right flank.
evidence_class	LEFT_ONLY_INTERNAL	Genomic-left flank anchored and target-overlapping repeat tract observed internally, but the tract does not reach the expected raw-read end; no exact size or lower bound.
evidence_class	NEARBY_ONLY	
evidence_class	REPEAT_ONLY_UNANCHORED	Repeat-like sequence lacks sufficient unique flanks for confident locus assignment.
evidence_class	RIGHT_ANCHORED_CENSORED_LEFT	Genomic-right flank anchored; repeat extends to read start without genomic-left flank.
evidence_class	RIGHT_ONLY_INTERNAL	Genomic-right flank anchored and target-overlapping repeat tract observed internally, but the tract does not reach the expected raw-read end; no exact size or lower bound.
evidence_class	SPAN	
evidence_class	UNRESOLVED	
expansion_signal_status	MODERATE_CANDIDATE	
expansion_signal_status	NOT_ASSESSABLE	
expansion_signal_status	NO_SIGNAL_IN_OBSERVED_RNA	Observed RNA evidence lacks an outlier signal; must not be reported as DNA-repeat negative.
expansion_signal_status	STRONG_CANDIDATE	
expansion_signal_status	WEAK_CANDIDATE	
failure_code	AMBIGUOUS_MOTIF	
failure_code	BAM_FASTQ_ID_MISMATCH	
failure_code	CHIMERIC_READ	
failure_code	COMPOUND_STRUCTURE	
failure_code	CONFLICTING_SUPPLEMENTARY_SEGMENTS	
failure_code	DUPLICATE_LIKE	
failure_code	GENERAL_CALLER_ERROR	
failure_code	GENERAL_CALLER_LOW_CONFIDENCE	
failure_code	GENERAL_CALLER_NO_PROJECTED_TARGET	
failure_code	GENERAL_CALLER_NO_WINDOW_SEQUENCE	
failure_code	GENERAL_CALLER_PRIOR_OVERLAP_NONPOSITIVE	
failure_code	GENERAL_CALLER_UNSUPPORTED_STRATEGY	
failure_code	HOMOPOLYMER_REVIEW	Mononucleotide A/T tract routed outside the standard P3 tandem-repeat evidence stream.
failure_code	INSUFFICIENT_LEFT_FLANK	
failure_code	INSUFFICIENT_RIGHT_FLANK	
failure_code	INTERNAL_SOFTCLIP_ONLY	
failure_code	LOW_BASE_QUALITY	
failure_code	LOW_MAPQ	
failure_code	MULTI_LOCUS	
failure_code	NONE	
failure_code	NO_ALIGNMENT	
failure_code	ORIENTATION_INCONSISTENT_BRIDGE	P3 query and candidate reference were normalized from mapped-block boundary toward target, but only reverse-orientation sequence compatibility was found.
failure_code	READ_SEQUENCE_MISSING	
failure_code	REPEAT_BOUNDARY_UNCERTAIN	
failure_code	REPEAT_NOT_FOUND	
failure_code	SOFTWARE_ERROR	
failure_code	TARGET_ENTRY_NOT_PROJECTED	A validated plus-orientation bridge did not project the target-entry boundary through its CIGAR.
failure_code	TARGET_NOT_EVALUABLE	
flank_uniqueness_status	ASSESSED_NONUNIQUE	
flank_uniqueness_status	ASSESSED_UNIQUE	
flank_uniqueness_status	NOT_ASSESSED	
interruption_operation_class	COMPOUND_BOUNDARY	
interruption_operation_class	DELETION	
interruption_operation_class	INSERTION	
interruption_operation_class	MOTIF_SWITCH	
interruption_operation_class	OTHER	
interruption_operation_class	SUBSTITUTION	
interruption_operation_class	UNKNOWN	
length_cluster_phase_status	MATCHED_DNA_SUPPORTED	
length_cluster_phase_status	ORTHOGONAL_SUPPORTED	
length_cluster_phase_status	SNP_PHASED	
length_cluster_phase_status	UNPHASED	
length_cluster_semantics	MATCHED_DNA_SUPPORTED_ALLELE_CLUSTER	
length_cluster_semantics	SNP_PHASED_HAPLOTYPE_CLUSTER	
length_cluster_semantics	UNPHASED_LENGTH_CLUSTER	
length_cluster_status	NOT_INTERPRETABLE	
length_cluster_status	PROVISIONAL	
length_cluster_status	REVIEW	
length_cluster_status	SUPPORTED	
length_measurement_type	BOTH_CENSORED_LOWER_BOUND	
length_measurement_type	CONTEXT_LIMITED_LOWER_BOUND	
length_measurement_type	EXACT	
length_measurement_type	LEFT_CENSORED_LOWER_BOUND	
length_measurement_type	LOW_CONFIDENCE	
length_measurement_type	RIGHT_CENSORED_LOWER_BOUND	
locus_distribution_status	CLUSTERING_COMPLETE	
locus_distribution_status	INSUFFICIENT_EXACT_SUPPORT	
locus_distribution_status	NOT_RUN	
locus_distribution_status	REVIEW	
locus_distribution_status	SUMMARIZED_NO_CLUSTERING	
lps_status	IMPLEMENTED_REFERENCE_V0.3.0	
membership_role	member	
membership_role	representative	
metric_status	FAIL	
metric_status	INFO	
metric_status	PASS	
metric_status	WARN	
motif_source	CATALOG	
motif_source	DENOVO_CONTEXT	
motif_source	DENOVO_RESIDUAL	
qc_status	FAIL	
qc_status	NOT_EVALUATED	
qc_status	PASS	
qc_status	WARN	
region_structure_status	COMPOUND_STRUCTURE_RESOLVED	
region_structure_status	NOT_EVALUATED	
region_structure_status	PARTIALLY_RESOLVED	
region_structure_status	SIMPLE_TR_RESOLVED	
region_structure_status	UNRESOLVED	
repeat_segment_role	COMPONENT	
repeat_segment_role	PRIMARY	
rna_evidence_status	AMBIGUOUS	
rna_evidence_status	COVERED_NO_OUTLIER_SIGNAL	No expansion signal in the observed RNA reads; not a DNA-negative result.
rna_evidence_status	EVIDENCE_PRESENT	
rna_evidence_status	INSUFFICIENT_COVERAGE	
rna_evidence_status	NOT_EVALUATED	
rna_evidence_status	NO_RNA_COVERAGE	No informative RNA coverage; not assessable.
scope_type	locus	
scope_type	read	
scope_type	region	
scope_type	run	
scope_type	sample	
scope_type	table	
sequence_context	FULL_READ	
sequence_context	PROJECTION_WINDOW	
sizing_status	compound_sequence_model	
sizing_status	exact_span	
sizing_status	lower_bound	
sizing_status	no_call	
sizing_status	not_attempted	
sizing_status	partial_internal	Partial internal repeat tract observed; neither exact size nor censored lower bound.
strand	+	
strand	-	
strand	.	
