check	status	detail	evidence
overall_pro_audit	PASS	checks=67 failures=0	rnatr_stage15e_combined_determinism_restart_v0.1.0_output.tar.gz
archive_sha256_sidecar	PASS	4e4ffb3ae62b7baa14bc42df0831bd0ecf6f1a9c3606feab9c6a9aa437cd997c	rnatr_stage15e_combined_determinism_restart_v0.1.0_output.tar.gz.sha256
tar_member_count	PASS	386	rnatr_stage15e_combined_determinism_restart_v0.1.0_output.tar.gz
tar_path_and_type_safety	PASS	unsafe=0	rnatr_stage15e_combined_determinism_restart_v0.1.0_output.tar.gz
artifact_manifest_rows	PASS	210	artifact_manifest.tsv
artifact_manifest_size_sha_verification	PASS	errors=0	artifact_manifest.tsv
unmanifested_files	PASS	0	artifact_manifest.tsv
final_qc::scope	PASS	observed=CHECKPOINT_BASED_RELEASE_SCALE_RECONSTRUCTION_NOT_UPSTREAM_BAM_PARTITION_11B_11D3_11E_RERUN expected=CHECKPOINT_BASED_RELEASE_SCALE_RECONSTRUCTION_NOT_UPSTREAM_BAM_PARTITION_11B_11D3_11E_RERUN	project/qc/15_stage15e_determinism_restart/ENCSR307SHM_stage15c_full5312696_seed20260809_mm2splice_v1/v0.1.0/stage15e_combined_determinism_restart.qc.tsv
final_qc::hash_seed_different	PASS	observed=true expected=true	project/qc/15_stage15e_determinism_restart/ENCSR307SHM_stage15c_full5312696_seed20260809_mm2splice_v1/v0.1.0/stage15e_combined_determinism_restart.qc.tsv
final_qc::full_checkpoint_rehash_before_stop	PASS	observed=PASS expected=PASS	project/qc/15_stage15e_determinism_restart/ENCSR307SHM_stage15c_full5312696_seed20260809_mm2splice_v1/v0.1.0/stage15e_combined_determinism_restart.qc.tsv
final_qc::full_checkpoint_rehash_before_resume	PASS	observed=PASS expected=PASS	project/qc/15_stage15e_determinism_restart/ENCSR307SHM_stage15c_full5312696_seed20260809_mm2splice_v1/v0.1.0/stage15e_combined_determinism_restart.qc.tsv
final_qc::corrupt_checkpoint_rejection	PASS	observed=PASS_COPIED_MANIFEST_SHA_NEGATIVE_FIXTURE expected=PASS_COPIED_MANIFEST_SHA_NEGATIVE_FIXTURE	project/qc/15_stage15e_determinism_restart/ENCSR307SHM_stage15c_full5312696_seed20260809_mm2splice_v1/v0.1.0/stage15e_combined_determinism_restart.qc.tsv
final_qc::source_checkpoint_artifact_corrupted	PASS	observed=false expected=false	project/qc/15_stage15e_determinism_restart/ENCSR307SHM_stage15c_full5312696_seed20260809_mm2splice_v1/v0.1.0/stage15e_combined_determinism_restart.qc.tsv
