run_id	stage_key	metric_name	value_text	value_num	unit	denominator_num	source_path	recorded_at
ENCSR307SHM_pilot100k_mm2splice_v1	11_aou_stat_semantics_rna_length_comparison	primary_population_length_comparable_loci	8549	8549.0		11042.0	/mnt/intelssd/rnatr_project/qc/11_aou_stat_semantics_rna_length_comparison/ENCSR307SHM_pilot100k_mm2splice_v1/latest/aou_stat_semantics_rna_length_comparison.qc.tsv	2026-08-12T12:00:33+00:00
ENCSR307SHM_pilot100k_mm2splice_v1	11_bulk_longread_reference_crosswalk_coverage	aou_validation_length_and_lps_addressable_loci	8556	8556.0		11042.0	/mnt/intelssd/rnatr_project/results/11_bulk_longread_reference_crosswalk_coverage/ENCSR307SHM_pilot100k_mm2splice_v1/latest/summary/population_coverage_accounting.tsv	2026-08-12T12:00:33+00:00
ENCSR307SHM_pilot100k_mm2splice_v1	11_bulk_longread_reference_crosswalk_coverage	longread_population_any_addressable_loci	8755	8755.0		11042.0	/mnt/intelssd/rnatr_project/results/11_bulk_longread_reference_crosswalk_coverage/ENCSR307SHM_pilot100k_mm2splice_v1/latest/summary/population_coverage_accounting.tsv	2026-08-12T12:00:33+00:00
ENCSR307SHM_pilot100k_mm2splice_v1	11_bulk_longread_reference_crosswalk_coverage	population_reference_union_with_repeatcatalogs_loci	8756	8756.0		11042.0	/mnt/intelssd/rnatr_project/results/11_bulk_longread_reference_crosswalk_coverage/ENCSR307SHM_pilot100k_mm2splice_v1/latest/summary/population_coverage_accounting.tsv	2026-08-12T12:00:33+00:00
ENCSR307SHM_pilot100k_mm2splice_v1	11_bulk_longread_reference_crosswalk_coverage	trexplorer_exact_strict_motif_loci	11028	11028.0		11042.0	/mnt/intelssd/rnatr_project/results/11_bulk_longread_reference_crosswalk_coverage/ENCSR307SHM_pilot100k_mm2splice_v1/latest/summary/population_coverage_accounting.tsv	2026-08-12T12:00:33+00:00
	11_equalized_100k_mapping	mapped_bam_count	6	6.0			/mnt/intelssd/rnatr_project/qc/11_equalized_100k_mapping/ENCSR307SHM_pilot100k_mm2splice_v1/rnatr_equalized_100k_mm2splice_mapping_v0.1.1/equalized_100k_mapping.qc.tsv	2026-08-12T12:00:33+00:00
	11_equalized_100k_read_pilot_builder	validated_total_reads	600000	600000.0	reads		/mnt/intelssd/rnatr_project/qc/11_equalized_100k_read_pilot_builder/ENCSR307SHM_pilot100k_mm2splice_v1	2026-08-12T12:00:33+00:00
ENCSR307SHM_pilot100k_mm2splice_v1	11_population_relative_length_interpretation	multiread_max_only_longer_molecule_loci	534	534.0			/mnt/intelssd/rnatr_project/qc/11_population_relative_length_interpretation/ENCSR307SHM_pilot100k_mm2splice_v1	2026-08-12T12:00:33+00:00
ENCSR307SHM_pilot100k_mm2splice_v1	11_population_relative_length_interpretation	multiread_median_shift_longer_loci	381	381.0			/mnt/intelssd/rnatr_project/qc/11_population_relative_length_interpretation/ENCSR307SHM_pilot100k_mm2splice_v1	2026-08-12T12:00:33+00:00
ENCSR307SHM_pilot100k_mm2splice_v1	11_population_relative_length_interpretation	multiread_median_shift_shorter_loci	409	409.0			/mnt/intelssd/rnatr_project/qc/11_population_relative_length_interpretation/ENCSR307SHM_pilot100k_mm2splice_v1	2026-08-12T12:00:33+00:00
ENCSR307SHM_pilot100k_mm2splice_v1	11_population_relative_length_interpretation	rna_max_or_median_tail_union_loci	3122	3122.0		8549.0	/mnt/intelssd/rnatr_project/qc/11_population_relative_length_interpretation/ENCSR307SHM_pilot100k_mm2splice_v1	2026-08-12T12:00:33+00:00
