run_id	dataset_id	accession	sample_label	dataset_role	run_role	pipeline_version	status	started_at	ended_at	root_path	notes
ENCSR307SHM							DISCOVERED			/mnt/intelssd/rnatr_project/qc/ENCSR307SHM	
ENCSR307SHM_full5312696_mm2splice_v1	ENCODE_ENCSR307SHM	ENCSR307SHM	Homo sapiens fetal brain, female, 85 days	TARGET_PILOT	FULL_MAPPING_BENCHMARK	minimap2_splice_cDNA_full_v1	PASS			/mnt/intelssd/rnatr_project/results/11_mapping/ENCSR307SHM_full5312696_mm2splice_v1	5,312,696 primary records with exact FASTQ/BAM read-ID multiset parity; mapping excluded from BAM-to-final gate.
ENCSR307SHM_pilot100k_mm2splice_v1	ENCODE_ENCSR307SHM	ENCSR307SHM	Homo sapiens fetal brain, female, 85 days	TARGET_PILOT	DEVELOPMENT_PILOT	rnatr-scout 0.3.2	IN_PROGRESS			/mnt/intelssd/rnatr_project	Step 11 remains in progress; exact-span P0/P1 and P3 branches have completed subcomponents.
ENCSR307SHM_pilot100k_mm2splice_v1.periodic_baseline_manifest.tsv							DISCOVERED				
ENCSR307SHM_pilot100k_mm2splice_v1.target_constrained_periodic_manifest.tsv							DISCOVERED				
ENCSR307SHM_stage15a250k_seed20260808_mm2splice_v1	ENCODE_ENCSR307SHM	ENCSR307SHM	Homo sapiens fetal brain, female, 85 days	TARGET_PILOT	DETERMINISTIC_SCALING_BENCHMARK	rnatr_stage15a_deterministic_250k_scaling_v0.1.2	PASS_WITH_OPEN_GATES			/mnt/intelssd/rnatr_project/results/15_stage15a_bam_to_final/ENCSR307SHM_stage15a250k_seed20260808_mm2splice_v1/v0.1.2_250k_scaling	Nested deterministic 250k subset; two hash-seed replicates; full 5.31M not run; active pipeline unchanged.
ENCSR307SHM_stage15a500k_seed20260809_mm2splice_v1	ENCODE_ENCSR307SHM	ENCSR307SHM	Homo sapiens fetal brain, female, 85 days	TARGET_PILOT	DETERMINISTIC_SCALING_BENCHMARK	rnatr_stage15a_deterministic_500k_scaling_v0.1.4_compare_amendment	PASS			/mnt/intelssd/rnatr_project/results/15_stage15a_bam_to_final/ENCSR307SHM_stage15a500k_seed20260809_mm2splice_v1/v0.1.1_500k_scaling	Exact package/caller/checkpoint reproducibility and nested-250k parity PASS; active pipeline unchanged.
ENCSR307SHM_stage15c_full5312696_seed20260809_mm2splice_v1	ENCODE_ENCSR307SHM	ENCSR307SHM	Homo sapiens fetal brain, female, 85 days	TARGET_PILOT	FULL_EMPIRICAL_CORE_BENCHMARK	rnatr_stage15c_full5312696_bam_to_final_v0.1.6	PASS_WITH_DOCUMENTED_TOLERANCE			/mnt/intelssd/rnatr_project/results/15_stage15c_fullscale_bam_to_final/ENCSR307SHM_stage15c_full5312696_seed20260809_mm2splice_v1/v0.1.6	Full 5.31M BAM-to-final correctness PASS at 60.041256352 min with documented tolerance. Stage15E subsequently closed checkpoint-based release-scale reconstruction and selective caller-to-final restart/resume; active pipeline remains unpromoted.
ENCSR307SHM_stage15e_determinism_restart_hashseed20260810_v1	ENCODE_ENCSR307SHM	ENCSR307SHM	Homo sapiens fetal brain, female, 85 days	TARGET_PILOT	RELEASE_SCALE_DETERMINISM_RESTART_VALIDATION	rnatr_stage15e_combined_determinism_restart_v0.1.0	PASS_WITH_SCOPE_AMENDMENT			/mnt/intelssd/rnatr_project/results/15_stage15e_determinism_restart/ENCSR307SHM_stage15c_full5312696_seed20260809_mm2splice_v1/v0.1.0	Different-hash-seed target caller/materializer parity, 144-shard exact package reconstruction, checkpoint rejection, intentional stop/selective resume, atomic publication, and second-resume no-op PASS within the frozen checkpoint-based scope.
ENCSR307SHM_stage15g_prerc_architecture_remediation_v0_1_1	ENCODE_ENCSR307SHM	ENCSR307SHM	Homo sapiens fetal brain, female, 85 days	TARGET_PILOT	architecture_governance	rnatr_stage15g_prerc_architecture_remediation_v0.1.1	PASS			/mnt/intelssd/rnatr_project/qc/15_stage15g_prerc_architecture_remediation/ENCSR307SHM_stage15c_full5312696_seed20260809_mm2splice_v1/v0.1.1	Metadata/lifecycle remediation only; active pipeline, schema, and scientific outputs unchanged.
ENCSR327TOR							DISCOVERED				
ENCSR327TOR_sample100k_seed20260803_mm2splice_v1	ENCODE_ENCSR327TOR	ENCSR327TOR	Homo sapiens fetal brain, female, 117 days	RNA_TECHNICAL_COMPARISON	RNA_TECHNICAL_COMPARISON_MAPPING	rnatr_mm2_splice_cDNA_v0.3.1	MAPPED			/mnt/intelssd/rnatr_project/results/11_equalized_100k_mapping/ENCSR307SHM_pilot100k_mm2splice_v1/rnatr_equalized_100k_mm2splice_mapping_v0.1.1/bam/ENCSR327TOR	100k-read equalized comparison dataset.
ENCSR327TOR_sample100k_seed20260803_mm2splice_v1_calib6_replay_v0.3.3							DISCOVERED			/mnt/intelssd/rnatr_project/qc/11_assignment/ENCSR327TOR_sample100k_seed20260803_mm2splice_v1_calib6_replay_v0.3.3	
ENCSR327TOR_sample100k_seed20260803_mm2splice_v1_calib6_replay_v0.3.3_mappedonly							DISCOVERED			/mnt/intelssd/rnatr_project/qc/11_assignment/ENCSR327TOR_sample100k_seed20260803_mm2splice_v1_calib6_replay_v0.3.3_mappedonly	
