run_id	stage_key	implementation_id	attempt_tag	status	qc_path	qc_status	started_at	ended_at	notes
ENCSR307SHM	15_stage15c_fullscale_preflight		77539f0c4cda0e9b	PASS	/mnt/intelssd/rnatr_project/qc/15_stage15c_fullscale_preflight/ENCSR307SHM/v0.1.0/stage15c_fullscale_preflight.qc.tsv	PASS		2026-08-09T11:40:07+00:00	Auto-ingested from QC/metric TSV.
ENCSR307SHM	ENCSR307SHM		c8f31fedc982512f	OBSERVED	/mnt/intelssd/rnatr_project/qc/ENCSR307SHM/ENCFF260PGB.pilot100k_acceptance.tsv			2026-08-03T02:08:24+00:00	Auto-ingested from QC/metric TSV.
ENCSR307SHM_full5312696_mm2splice_v1	11_mapping		1ae0ebfe7460b9e2	OBSERVED	/mnt/intelssd/rnatr_project/qc/11_mapping/ENCSR307SHM_full5312696_mm2splice_v1/ENCSR307SHM_full5312696_mm2splice_v1.read_id_parity.tsv			2026-08-09T09:09:46+00:00	Auto-ingested from QC/metric TSV.
ENCSR307SHM_full5312696_mm2splice_v1	15C_FULL_MAPPING	impl_stage15c_full_mapping_v0_1_0	v0.1.0	PASS	/mnt/intelssd/rnatr_project/qc/11_mapping/ENCSR307SHM_full5312696_mm2splice_v1/ENCSR307SHM_full5312696_mm2splice_v1.mapping_qc.tsv	PASS			Full mapping and read-ID parity PASS.
ENCSR307SHM_pilot100k_mm2splice_v1	11_anchor_block_validation		4be430c4d76d949c	PASS	/mnt/intelssd/rnatr_project/qc/11_anchor_block_validation/ENCSR307SHM_pilot100k_mm2splice_v1/anchor_block_validation.qc.tsv	PASS		2026-08-03T13:23:16+00:00	Auto-ingested from QC/metric TSV.
ENCSR307SHM_pilot100k_mm2splice_v1	11_aou_stat_semantics_rna_length_comparison		14eee308252a9a3a	PASS	/mnt/intelssd/rnatr_project/qc/11_aou_stat_semantics_rna_length_comparison/ENCSR307SHM_pilot100k_mm2splice_v1/rnatr_aou_stat_semantics_rna_length_comparison_v0.1.1/sha256_596bb9f62a0ea1cf1c58aeba5d0dac4117d6f1174348c94bd6225b2da604458c/aou_stat_semantics_rna_length_comparison.qc.tsv	PASS		2026-08-06T00:36:29+00:00	Auto-ingested from QC/metric TSV.
ENCSR307SHM_pilot100k_mm2splice_v1	11_assignment		95e40f34e7c19e9c	PASS	/mnt/intelssd/rnatr_project/qc/11_assignment/ENCSR307SHM_pilot100k_mm2splice_v1/target_assignment_qc.tsv	PASS		2026-08-03T05:57:05+00:00	Auto-ingested from QC/metric TSV.
ENCSR307SHM_pilot100k_mm2splice_v1	11_bulk_longread_population_reference_acquisition		73c8c365fc9bd26a	PASS	/mnt/intelssd/rnatr_project/qc/11_bulk_longread_population_reference_acquisition/ENCSR307SHM_pilot100k_mm2splice_v1/rnatr_bulk_longread_population_reference_acquisition_v0.1.1/20260805T132615Z_3bcb8fa068ec/bulk_longread_population_reference_acquisition.qc.tsv	PASS		2026-08-05T15:22:37+00:00	Auto-ingested from QC/metric TSV.
ENCSR307SHM_pilot100k_mm2splice_v1	11_bulk_longread_reference_crosswalk_coverage		e9b691065dab8ac9	PASS	/mnt/intelssd/rnatr_project/qc/11_bulk_longread_reference_crosswalk_coverage/ENCSR307SHM_pilot100k_mm2splice_v1/rnatr_bulk_longread_reference_crosswalk_coverage_v0.1.0/sha256_4ac07dda0d9c2e5ab4f76ba0ef59e919a34be9bb501929ecd6b6709f59808b54/bulk_longread_reference_crosswalk_coverage.qc.tsv	PASS		2026-08-05T16:53:32+00:00	Auto-ingested from QC/metric TSV.
ENCSR307SHM_pilot100k_mm2splice_v1	11_candidates		0ab608c9ee383922	PASS	/mnt/intelssd/rnatr_project/qc/11_candidates/ENCSR307SHM_pilot100k_mm2splice_v1/candidate_materialization_qc.tsv	PASS		2026-08-03T06:02:31+00:00	Auto-ingested from QC/metric TSV.
ENCSR307SHM_pilot100k_mm2splice_v1	11_contract_integrity_audit		2ea66e53b19bc215	PASS	/mnt/intelssd/rnatr_project/qc/11_contract_integrity_audit/ENCSR307SHM_pilot100k_mm2splice_v1/contract_integrity_audit.qc.tsv	PASS		2026-08-03T16:18:28+00:00	Auto-ingested from QC/metric TSV.
ENCSR307SHM_pilot100k_mm2splice_v1	11_equalized_100k_mapping		7acf2cb4c14de686	PASS	/mnt/intelssd/rnatr_project/qc/11_equalized_100k_mapping/ENCSR307SHM_pilot100k_mm2splice_v1/rnatr_equalized_100k_mm2splice_mapping_v0.1.1/equalized_100k_mapping.qc.tsv	PASS		2026-08-06T08:35:46+00:00	Auto-ingested from QC/metric TSV.
